match_id,round,team1,team2,kickoff_spain,home_score,away_score,advanced
3,Round of 32,South Africa,Canada,2026-06-28 22:00,0,1,Canada
9,Round of 32,Brazil,Japan,2026-06-29 19:00,2,1,Brazil
1,Round of 32,Germany,Paraguay,2026-06-29 22:30,1,1,Paraguay
4,Round of 32,Netherlands,Morocco,2026-06-30 03:00,1,1,Morocco
10,Round of 32,Ivory Coast,Norway,2026-06-30 19:00,,,
2,Round of 32,France,Sweden,2026-06-30 23:00,,,
11,Round of 32,Mexico,Ecuador,2026-07-01 03:00,,,
12,Round of 32,England,DR Congo,2026-07-01 18:00,,,
8,Round of 32,Belgium,Senegal,2026-07-01 22:00,,,
7,Round of 32,United States,Bosnia and Herzegovina,2026-07-02 02:00,,,
6,Round of 32,Spain,Austria,2026-07-02 21:00,,,
5,Round of 32,Portugal,Croatia,2026-07-03 01:00,,,
15,Round of 32,Switzerland,Algeria,2026-07-03 05:00,,,
14,Round of 32,Australia,Egypt,2026-07-03 20:00,,,
13,Round of 32,Argentina,Cape Verde,2026-07-04 00:00,,,
16,Round of 32,Colombia,Ghana,2026-07-04 03:30,,,
