team,elo
Spain,2087.01536277673
Argentina,2054.261376103838
France,2006.5128835756932
England,1974.3823495439397
Portugal,1952.3026781096232
Brazil,1944.3864593824624
Germany,1941.6212650619464
Colombia,1930.3453460522899
Morocco,1923.1882730244176
Netherlands,1923.1679671765066
Ecuador,1914.4799398782368
Japan,1906.527994331117
Mexico,1905.0166352656897
Turkey,1893.5052741939892
Croatia,1882.3030187938396
Italy,1876.1659437807537
Uruguay,1868.1091701950072
Norway,1858.0334498170475
Belgium,1854.8209244373318
Switzerland,1847.6169886444545
Senegal,1843.9044120032243
Denmark,1835.1129039970197
Iran,1834.4919553044563
United States,1829.8073395688198
South Korea,1829.1855228733518
Paraguay,1822.5941450623263
Canada,1821.75743905575
Australia,1821.5465448641041
Algeria,1816.52929934222
Austria,1816.2568930722823
Russia,1794.4612106509733
Nigeria,1789.7042081985287
Panama,1779.5503971658977
Scotland,1778.382036343741
Uzbekistan,1772.798802973577
Egypt,1770.6682855859158
Ukraine,1760.6084180122505
Ivory Coast,1760.3843467307524
Venezuela,1754.7399332395066
Hungary,1751.3812239864747
Czech Republic,1749.0345423245092
Greece,1745.8260170217773
Serbia,1739.833778370047
Basque Country,1733.8974939578725
Iraq,1729.6718708023247
Poland,1729.301833924159
Chile,1726.4498048824091
Sweden,1725.8913924179146
Jersey,1719.852073153066
Wales,1710.7343895153217
Republic of Ireland,1708.0891542410723
Slovenia,1706.8631099794986
Kosovo,1706.288747271365
Costa Rica,1702.7399271519948
DR Congo,1701.4343908269886
Peru,1699.4220563676506
Jordan,1698.2551198677843
Cameroon,1689.4061778097164
Slovakia,1683.1557627882805
Saudi Arabia,1681.4181414041473
East Germany,1673.4730567938839
Guernsey,1671.8311681856876
Tunisia,1668.414384453854
New Zealand,1666.9470643776272
Bolivia,1662.4237176920808
Honduras,1662.300418774745
Romania,1660.4056734129988
Georgia,1651.672155472447
South Africa,1649.9751143733297
Mali,1649.0493521672424
United Arab Emirates,1648.6281388834177
Catalonia,1642.8711418993792
Qatar,1636.7170001850338
Jamaica,1628.7721515826165
Haiti,1628.4547653111867
Albania,1626.2837921160751
Israel,1622.9439901015628
Burkina Faso,1617.2386146920219
North Macedonia,1616.970961720331
Ynys Môn,1616.9256879306695
Bosnia and Herzegovina,1616.9242425229504
Isle of Man,1615.5972445954146
Guatemala,1613.9759709067364
Padania,1612.7296635467019
Cape Verde,1605.9711287194325
Isle of Wight,1593.9463875338745
Occitania,1593.5893707965631
Northern Ireland,1590.6736507004316
Northern Cyprus,1590.119793656072
Andalusia,1586.4975726863963
Oman,1580.4237562885817
Iceland,1576.7300304061691
Kernow,1575.3007955318005
Abkhazia,1573.7000737088704
Ghana,1568.9088332660822
Iraqi Kurdistan,1565.3517476205743
Curaçao,1562.7590038326275
Angola,1559.6191397504008
Suriname,1559.5672496895502
Syria,1558.2263936960264
Rhodes,1553.275899040669
China,1550.2529834717398
Corsica,1549.8297082734769
County of Nice,1544.5622207303445
Tamil Eelam,1543.3961068627834
Palestine,1543.288179369464
Kárpátalja,1542.6957370103905
New Caledonia,1541.7931337641046
Réunion,1540.9148701672232
Finland,1540.2538345293362
Ellan Vannin,1540.008809139314
Galicia,1539.094592273409
Belarus,1538.0248904889106
Yorkshire,1537.980967397252
Zambia,1537.2231109636027
Thailand,1536.7228087779229
Bahrain,1535.0692711586676
Trinidad and Tobago,1532.419033598804
Artsakh,1531.7531203433896
Kurdistan,1531.3074008667331
Malaysia,1530.2070348015736
Guinea,1526.9390097899532
Indonesia,1525.398177289908
Brittany,1523.1985584109573
Montenegro,1523.114729592551
Menorca,1522.2286107322684
Panjab,1522.149877446615
Arameans Suryoye,1522.115351536999
Maule Sur,1519.4167345713752
Cascadia,1519.2596018963552
Gabon,1517.225848790109
Elba Island,1516.0357716880346
Guadeloupe,1514.40273867216
Canary Islands,1514.269445261948
Uganda,1512.5203851671383
Biafra,1510.5806303689187
Asturias,1510.56675634087
Bulgaria,1510.2655343232168
Tahiti,1509.9039511730518
Surrey,1509.393505331036
Parishes of Jersey,1509.3583288082227
Chameria,1508.7945031887396
Benin,1508.6503338165512
Silesia,1508.1283323793518
Libya,1506.8125427163047
Quebec,1506.6486643297376
Crimea,1505.441788698286
Franconia,1504.740396193304
Gambia,1504.6864883485594
Donetsk PR,1503.714032585318
Felvidék,1501.695700110255
Central Spain,1500.55049469111
Mapuche,1500.28774368332
Matabeleland,1499.947117200842
Saugeais,1499.110217262817
Délvidék,1498.34181368072
United Koreans in Japan,1498.2537980306674
Kuwait,1497.0560317224697
Comoros,1496.9277694516634
Sealand,1494.9273699721537
Åland Islands,1494.6057003365697
Székely Land,1494.4287032940138
Mozambique,1494.2530813542714
Madrid,1492.2279020602318
Vietnam,1491.3211277247076
Cilento,1490.356817748032
Ryūkyū,1489.8104260941348
Kazakhstan,1489.7384889392067
Yoruba Nation,1489.7193628375421
Luhansk PR,1489.7066220124357
Somaliland,1489.600414196571
Seborga,1489.553623924022
West Papua,1487.60832854656
Western Armenia,1487.5071642385276
Hmong,1487.4080133175432
Republic of St. Pauli,1485.878486409206
Nicaragua,1483.8809518148562
Niue,1483.4464858754673
South Yemen,1482.6367242390734
Gozo,1482.129254374465
Shetland,1480.9706226083288
Kabylia,1480.94517000083
Chechnya,1480.5929689176469
Aymara,1480.2955217453048
South Ossetia,1479.678933963606
North Korea,1478.2929106180165
El Salvador,1478.2567340748249
Monaco,1477.882414564858
Kyrgyzstan,1477.7618432951472
Zanzibar,1477.5653028395727
East Turkestan,1477.2446928538325
Romani people,1476.5565892415966
Vanuatu,1473.7554487277773
Palau,1473.5031829947256
Togo,1471.3872940037854
Găgăuzia,1470.3038029859977
Madagascar,1469.3350967077927
Dominican Republic,1469.2756305827554
Niger,1468.7390216753354
Fiji,1468.4475664638496
Manchukuo,1468.3785396460028
North Vietnam,1467.6311849855958
Sudan,1467.552671743188
Kenya,1466.9457685541795
Western Sahara,1466.4891449912998
Western Isles,1466.0574912376744
Tajikistan,1465.6942646800155
Guyana,1464.7506052304361
Sápmi,1464.7354371646388
Papua New Guinea,1463.9929650544566
Marshall Islands,1463.7006566405653
Ticino,1463.6041867220633
Saarland,1463.2144351181635
Martinique,1462.9804621299759
Sark,1460.0954640152192
Gotland,1459.9252160109525
Provence,1458.6476218769947
Rwanda,1458.003811765059
Mauritania,1456.1336320168214
Luxembourg,1451.9975830545347
Ambazonia,1451.9774852071375
Barawa,1450.136494216715
Greenland,1447.9057231302481
Equatorial Guinea,1446.6593429244886
Vatican City,1446.6553049511815
Micronesia,1446.1002485161991
Solomon Islands,1445.0498073432002
Raetia,1444.0512319365669
Two Sicilies,1443.193847842609
Orkney,1443.1178370120383
Sierra Leone,1442.7673111660888
Saint Barthélemy,1442.2998017118614
Armenia,1441.4245380119671
Zimbabwe,1441.2057415416766
Tanzania,1438.6444163180197
Darfur,1435.5400330794782
Lebanon,1434.4085044358717
Mayotte,1434.173217405087
Saint Helena,1431.446625626563
Saint Pierre and Miquelon,1431.245131010246
Western Australia,1430.0083798229664
Chagos Islands,1425.134949109678
Faroe Islands,1424.5546579138315
Hitra,1417.941845025165
Liberia,1415.6733942108212
Estonia,1415.4563712890442
Malawi,1413.8766066067258
Kiribati,1408.6115187444839
Botswana,1408.4902189567435
Azerbaijan,1408.3044303739662
Namibia,1406.6732963758088
Turkmenistan,1401.396023571348
Cyprus,1399.8376530292385
Ethiopia,1399.6553711832473
French Guiana,1398.6104854752793
Yemen DPR,1392.6377968746406
Wallis Islands and Futuna,1391.5945509094474
Lesotho,1391.0869401180523
Cuba,1389.9056052112967
Puerto Rico,1389.1140987338572
Burundi,1385.4586716240042
Saare County,1384.2418285158801
Saint Vincent and the Grenadines,1382.599293789314
Vietnam Republic,1379.2277467428132
Philippines,1377.317757849272
Singapore,1377.0875417319771
Guinea-Bissau,1375.8453018851328
Bermuda,1372.1184844985928
Malta,1368.9450378873678
Tibet,1363.742135744104
Moldova,1360.735673165151
Samoa,1357.8447228619004
Tuvalu,1357.2944107627695
Congo,1349.5356173534578
Central African Republic,1348.8367413204905
Falkland Islands,1348.4651692616596
Latvia,1345.389414306811
Hong Kong,1343.0184908541019
Frøya,1338.8921014316197
Grenada,1336.7736780816128
Lithuania,1333.7756039476062
Sint Maarten,1331.515722764165
Saint Kitts and Nevis,1329.7655185763085
Yemen,1324.5692114987971
Belize,1318.5377128999667
Saint Lucia,1312.43724402427
Eswatini,1300.7329503283172
South Sudan,1295.4943694284686
Montserrat,1289.9266156606218
Saint Martin,1285.2981727384242
Chad,1279.8302282149573
India,1275.669644520363
Eritrea,1274.3169924572496
Cook Islands,1269.5725362687087
Bonaire,1238.9398863627866
Myanmar,1233.4122045831323
Mauritius,1231.4180872720685
Bangladesh,1222.8476366288605
Tonga,1220.7286401256197
Aruba,1219.2055684750633
Dominica,1216.9891463021213
