group,team,played,won,drawn,lost,gf,ga,gd,points,p_first,p_top2,p_advance
Group A,Mexico,2,2,0,0,3,0,3,6,96.7,100.0,100.0
Group A,South Korea,2,1,0,1,2,2,0,3,3.4,81.3,96.3
Group A,Czech Republic,2,0,1,1,2,3,-1,1,0.0,2.5,9.4
Group A,South Africa,2,0,1,1,1,3,-2,1,0.0,16.2,17.4
Group B,Canada,2,1,1,0,7,1,6,4,73.7,100.0,100.0
Group B,Switzerland,2,1,1,0,5,2,3,4,26.3,98.5,100.0
Group B,Bosnia and Herzegovina,2,0,1,1,2,5,-3,1,0.0,1.4,38.2
Group B,Qatar,2,0,1,1,1,7,-6,1,0.0,0.1,37.8
Group C,Brazil,2,1,1,0,4,1,3,4,47.9,83.2,100.0
Group C,Morocco,2,1,1,0,2,1,1,4,49.7,98.9,100.0
Group C,Scotland,2,1,0,1,1,1,0,3,2.4,17.9,87.3
Group C,Haiti,2,0,0,2,0,4,-4,0,0.0,0.0,0.6
Group D,United States,2,2,0,0,6,1,5,6,99.6,100.0,100.0
Group D,Australia,2,1,0,1,2,2,0,3,0.3,60.5,92.1
Group D,Paraguay,2,1,0,1,2,4,-2,3,0.1,39.5,83.9
Group D,Turkey,2,0,0,2,0,3,-3,0,0.0,0.0,8.0
Group E,Germany,2,2,0,0,9,2,7,6,99.6,100.0,100.0
Group E,Ivory Coast,2,1,0,1,2,2,0,3,0.4,82.8,94.8
Group E,Ecuador,2,0,1,1,0,1,-1,1,0.0,6.0,25.2
Group E,Curaçao,2,0,1,1,1,7,-6,1,0.0,11.2,14.9
Group F,Netherlands,2,1,1,0,7,3,4,4,62.3,99.6,100.0
Group F,Japan,2,1,1,0,6,2,4,4,34.9,86.5,100.0
Group F,Sweden,2,1,0,1,6,6,0,3,2.8,13.9,91.0
Group F,Tunisia,2,0,0,2,1,9,-8,0,0.0,0.0,0.0
Group G,Egypt,2,1,1,0,4,2,2,4,55.4,73.7,100.0
Group G,Iran,2,0,2,0,2,2,0,2,25.5,42.3,66.8
Group G,Belgium,2,0,2,0,1,1,0,2,19.0,71.9,83.9
Group G,New Zealand,2,0,1,1,3,5,-2,1,0.0,12.1,16.6
Group H,Spain,2,1,1,0,4,0,4,4,86.9,95.3,100.0
Group H,Uruguay,2,0,2,0,3,3,0,2,10.9,16.0,34.0
Group H,Cape Verde,2,0,2,0,2,2,0,2,2.2,52.3,59.9
Group H,Saudi Arabia,2,0,1,1,1,5,-4,1,0.0,36.4,41.4
Group I,France,2,2,0,0,6,1,5,6,77.0,100.0,100.0
Group I,Norway,2,2,0,0,7,3,4,6,23.0,100.0,100.0
Group I,Senegal,2,0,0,2,3,6,-3,0,0.0,0.0,52.1
Group I,Iraq,2,0,0,2,1,7,-6,0,0.0,0.0,11.4
Group J,Argentina,2,2,0,0,5,0,5,6,99.9,100.0,100.0
Group J,Austria,2,1,0,1,3,3,0,3,0.1,60.2,94.2
Group J,Algeria,2,1,0,1,2,4,-2,3,0.0,39.8,86.8
Group J,Jordan,2,0,0,2,2,5,-3,0,0.0,0.0,1.6
Group K,Colombia,2,2,0,0,4,1,3,6,66.2,100.0,100.0
Group K,Portugal,2,1,1,0,6,1,5,4,33.8,99.4,100.0
Group K,DR Congo,2,0,1,1,1,2,-1,1,0.0,0.6,39.4
Group K,Uzbekistan,2,0,0,2,1,8,-7,0,0.0,0.0,16.3
Group L,England,2,1,1,0,4,2,2,4,75.8,99.7,100.0
Group L,Ghana,2,1,1,0,1,0,1,4,4.4,24.7,100.0
Group L,Croatia,2,1,0,1,3,4,-1,3,19.8,75.6,97.8
Group L,Panama,2,0,0,2,0,2,-2,0,0.0,0.0,1.0
