date,group,home_team,away_team,home_score,away_score,actual,v0_pick,v0_p_home,v0_p_draw,v0_p_away,v1_pick,v1_p_home,v1_p_draw,v1_p_away,pred_home_goals,pred_away_goals,v0_correct,v1_correct,exact_correct,v1_rps
2026-06-11,Group A,Mexico,South Africa,2.0,0.0,Home win,Home win,56.1,22.5,21.4,Home win,47.4,29.1,23.5,2.0,0.0,True,True,True,0.1659505
2026-06-11,Group A,South Korea,Czech Republic,2.0,1.0,Home win,Away win,33.4,27.0,39.6,Away win,33.8,29.1,37.1,1.0,1.0,False,False,False,0.2879425
2026-06-12,Group B,Canada,Bosnia and Herzegovina,1.0,1.0,Draw,Home win,38.9,29.9,31.2,Home win,45.2,32.9,22.0,2.0,0.0,False,False,False,0.12613250000000004
2026-06-12,Group D,United States,Paraguay,4.0,1.0,Home win,Away win,36.1,26.1,37.8,Away win,24.5,29.5,46.0,1.0,0.0,False,False,False,0.3908125
2026-06-13,Group B,Qatar,Switzerland,1.0,1.0,Draw,Away win,16.8,21.3,61.9,Away win,9.5,16.4,74.1,0.0,2.0,False,False,False,0.279053
2026-06-13,Group D,Australia,Turkey,2.0,0.0,Home win,Home win,43.4,31.7,24.9,Away win,25.6,25.3,49.2,1.0,1.0,True,False,False,0.3973085
2026-06-13,Group C,Brazil,Morocco,1.0,1.0,Draw,Home win,68.3,20.2,11.5,Home win,54.3,25.4,20.3,1.0,1.0,False,False,True,0.16802899999999998
2026-06-13,Group C,Haiti,Scotland,0.0,1.0,Away win,Away win,30.3,27.7,42.0,Away win,22.1,28.3,49.5,0.0,1.0,True,True,True,0.15142850000000002
2026-06-14,Group F,Sweden,Tunisia,5.0,1.0,Home win,Home win,63.1,22.3,14.6,Home win,61.5,22.2,16.3,1.0,1.0,True,True,False,0.087397
2026-06-14,Group F,Netherlands,Japan,2.0,2.0,Draw,Home win,56.1,30.2,13.6,Home win,48.3,32.7,19.0,1.0,1.0,False,False,False,0.1346945
2026-06-14,Group E,Ivory Coast,Ecuador,1.0,0.0,Home win,Home win,47.9,28.2,23.9,Away win,23.7,22.9,53.4,0.0,1.0,True,False,False,0.43366250000000006
2026-06-14,Group E,Germany,Curaçao,7.0,1.0,Home win,Home win,73.8,18.4,7.8,Home win,70.1,19.3,10.6,3.0,0.0,True,True,False,0.05031850000000002
2026-06-15,Group H,Saudi Arabia,Uruguay,1.0,1.0,Draw,Away win,9.7,18.4,71.9,Away win,8.7,15.6,75.7,0.0,2.0,False,False,False,0.29030900000000004
2026-06-15,Group H,Spain,Cape Verde,0.0,0.0,Draw,Home win,77.1,13.4,9.5,Home win,67.0,19.5,13.5,4.0,0.0,False,False,False,0.23356250000000003
2026-06-15,Group G,Iran,New Zealand,2.0,2.0,Draw,Home win,47.5,30.9,21.6,Home win,54.6,28.9,16.4,2.0,0.0,False,False,False,0.16267050000000002
2026-06-15,Group G,Belgium,Egypt,1.0,1.0,Draw,Home win,59.2,29.0,11.8,Home win,65.7,20.6,13.7,1.0,1.0,False,False,True,0.22520900000000002
2026-06-16,Group I,Iraq,Norway,1.0,4.0,Away win,Home win,46.1,23.1,30.7,Away win,19.2,19.3,61.5,0.0,1.0,False,True,False,0.0925445
2026-06-16,Group J,Austria,Jordan,3.0,1.0,Home win,Home win,58.9,23.8,17.3,Home win,66.0,18.8,15.2,1.0,0.0,True,True,False,0.06935199999999998
2026-06-16,Group I,France,Senegal,3.0,1.0,Home win,Home win,68.5,18.6,12.9,Home win,54.4,25.8,19.8,2.0,0.0,True,True,False,0.12356999999999997
2026-06-16,Group J,Argentina,Algeria,3.0,0.0,Home win,Home win,61.9,24.5,13.5,Home win,50.1,21.9,28.0,2.0,0.0,True,True,False,0.1637005
