group,team,number,player,position,date_of_birth,age,caps,goals,club,is_captain,norm,club_data,Gls,Gls,Ast,Ast,Min,MP
Group A,Czech Republic,4,Robin Hranáč,DF,2000-01-29,26.0,14,1,TSG Hoffenheim,False,robin hranac,True,1,0.04,0,0.0,2251,29
Group A,Czech Republic,5,Vladimír Coufal,DF,1992-08-22,33.0,62,2,TSG Hoffenheim,False,vladimir coufal,True,1,0.03,8,0.24,3012,34
Group A,Czech Republic,7,Ladislav Krejčí,DF,1999-04-20,27.0,27,5,Wolverhampton Wanderers,True,ladislav krejci,True,2,0.08,1,0.04,2356,28
Group A,Czech Republic,7,Ladislav Krejčí,DF,1999-04-20,27.0,27,5,Wolverhampton Wanderers,True,ladislav krejci,True,0,0.0,0,0.0,180,2
Group A,Czech Republic,9,Adam Hložek,FW,2002-07-25,23.0,43,5,TSG Hoffenheim,False,adam hlozek,True,0,0.0,0,0.0,41,5
Group A,Czech Republic,10,Patrik Schick,FW,1996-01-24,30.0,53,26,Bayer Leverkusen,False,patrik schick,True,16,0.72,3,0.14,1988,28
Group A,Czech Republic,15,Pavel Šulc,FW,2000-12-29,25.0,21,5,Lyon,False,pavel sulc,True,11,0.63,3,0.17,1566,27
Group A,Czech Republic,22,Tomáš Souček,MF,1995-02-27,31.0,90,17,West Ham United,False,tomas soucek,True,5,0.2,0,0.0,2200,35
Group A,Mexico,5,Johan Vásquez,DF,1998-10-22,27.0,46,3,Genoa,False,johan vasquez,True,1,0.03,0,0.0,3215,36
Group A,Mexico,8,Álvaro Fidalgo,MF,1997-04-09,29.0,4,0,Real Betis,False,alvaro fidalgo,True,1,0.17,0,0.0,542,9
Group A,Mexico,9,Raúl Jiménez,FW,1991-05-05,35.0,124,45,Fulham,False,raul jimenez,True,9,0.37,3,0.12,2189,36
Group A,Mexico,11,Santiago Giménez,FW,2001-04-18,25.0,47,6,Milan,False,santiago gimenez,True,0,0.0,1,0.1,892,16
Group A,Mexico,18,Obed Vargas,MF,2005-08-05,20.0,6,0,Atlético Madrid,False,obed vargas,True,0,0.0,1,0.12,740,12
Group A,South Africa,9,Lyle Foster,FW,2000-09-03,25.0,26,10,Burnley,False,lyle foster,True,3,0.2,2,0.13,1371,26
Group A,South Korea,4,Kim Min-jae,DF,1996-11-15,29.0,79,4,Bayern Munich,False,kim min-jae,True,1,0.06,1,0.06,1602,25
Group A,South Korea,10,Lee Jae-sung,MF,1992-08-10,33.0,105,15,Mainz 05,False,lee jae-sung,True,4,0.16,2,0.08,2185,28
Group A,South Korea,11,Hwang Hee-chan,MF,1996-01-26,30.0,79,17,Wolverhampton Wanderers,False,hwang hee-chan,True,2,0.12,2,0.12,1446,26
Group A,South Korea,19,Lee Kang-in,MF,2001-02-19,25.0,47,11,Paris Saint-Germain,False,lee kang-in,True,3,0.18,4,0.24,1519,27
Group A,South Korea,23,Jens Castrop,DF,2003-07-29,22.0,7,0,Borussia Mönchengladbach,False,jens castrop,True,3,0.17,1,0.06,1584,26
Group B,Bosnia and Herzegovina,1,Nikola Vasilj,GK,1995-12-02,30.0,26,0,FC St. Pauli,False,nikola vasilj,True,0,0.0,0,0.0,3060,34
Group B,Bosnia and Herzegovina,4,Tarik Muharemović,DF,2003-02-28,23.0,14,1,Sassuolo,False,tarik muharemovic,True,2,0.06,2,0.06,2835,32
Group B,Bosnia and Herzegovina,5,Sead Kolašinac,DF,1993-06-20,32.0,65,0,Atalanta,False,sead kolasinac,True,0,0.0,0,0.0,1212,19
Group B,Bosnia and Herzegovina,10,Ermedin Demirović,FW,1998-03-25,28.0,40,4,VfB Stuttgart,False,ermedin demirovic,True,12,0.72,3,0.18,1497,25
Group B,Bosnia and Herzegovina,11,Edin Džeko,FW,1986-03-17,40.0,148,73,Schalke 04,True,edin dzeko,True,0,0.0,0,0.0,244,11
Group B,Bosnia and Herzegovina,23,Haris Tabaković,FW,1994-06-20,31.0,10,4,Borussia Mönchengladbach,False,haris tabakovic,True,13,0.49,3,0.11,2382,32
Group B,Bosnia and Herzegovina,24,Nidal Čelik,DF,2006-07-17,19.0,2,0,Lens,False,nidal celik,True,0,0.0,0,0.0,616,8
Group B,Canada,8,Ismaël Koné,MF,2002-06-16,23.0,40,4,Sassuolo,False,ismael kone,True,6,0.2,0,0.0,2737,35
Group B,Canada,10,Jonathan David,FW,2000-01-14,26.0,77,39,Juventus,False,jonathan david,True,6,0.3,4,0.2,1781,35
Group B,Canada,12,Tani Oluwaseyi,FW,2000-05-15,26.0,24,2,Villarreal,False,tani oluwaseyi,True,2,0.2,2,0.2,901,27
Group B,Canada,13,Derek Cornelius,DF,1997-11-25,28.0,44,1,Rangers,False,derek cornelius,True,0,0.0,0,0.0,58,2
Group B,Canada,15,Moïse Bombito,DF,2000-03-30,26.0,20,0,Nice,False,moise bombito,True,0,0.0,0,0.0,145,2
Group B,Canada,17,Tajon Buchanan,FW,1999-02-08,27.0,60,8,Villarreal,False,tajon buchanan,True,7,0.35,1,0.05,1819,34
Group B,Canada,19,Alphonso Davies,DF,2000-11-02,25.0,58,15,Bayern Munich,True,alphonso davies,True,1,0.17,3,0.51,525,13
Group B,Switzerland,1,Gregor Kobel,GK,1997-12-06,28.0,21,0,Borussia Dortmund,False,gregor kobel,True,0,0.0,0,0.0,3060,34
Group B,Switzerland,2,Miro Muheim,DF,1998-03-24,28.0,10,0,Hamburger SV,False,miro muheim,True,0,0.0,4,0.15,2435,29
Group B,Switzerland,3,Silvan Widmer,DF,1993-03-05,33.0,60,5,Mainz 05,False,silvan widmer,True,2,0.1,1,0.05,1810,27
Group B,Switzerland,4,Nico Elvedi,DF,1996-09-30,29.0,67,3,Borussia Mönchengladbach,False,nico elvedi,True,0,0.0,2,0.06,2966,33
Group B,Switzerland,5,Manuel Akanji,DF,1995-07-19,30.0,81,4,Inter Milan,False,manuel akanji,True,2,0.06,0,0.0,2821,33
Group B,Switzerland,6,Denis Zakaria,MF,1996-11-20,29.0,65,3,Monaco,False,denis zakaria,True,2,0.09,1,0.04,2031,24
Group B,Switzerland,7,Breel Embolo,FW,1997-02-14,29.0,86,24,Rennes,False,breel embolo,True,8,0.38,3,0.14,1872,31
Group B,Switzerland,8,Remo Freuler,MF,1992-04-15,34.0,88,11,Bologna,False,remo freuler,True,1,0.04,2,0.08,2213,29
Group B,Switzerland,9,Johan Manzambi,MF,2005-10-14,20.0,12,3,SC Freiburg,False,johan manzambi,True,5,0.22,4,0.17,2077,27
Group B,Switzerland,10,Granit Xhaka,MF,1992-09-27,33.0,146,17,Sunderland,True,granit xhaka,True,1,0.03,6,0.19,2904,34
Group B,Switzerland,11,Dan Ndoye,FW,2000-10-25,25.0,31,8,Nottingham Forest,False,dan ndoye,True,1,0.08,1,0.08,1173,24
Group B,Switzerland,12,Yvon Mvogo,GK,1994-06-06,32.0,13,0,Lorient,False,yvon mvogo,True,0,0.0,0,0.0,2790,31
Group B,Switzerland,13,Ricardo Rodriguez,DF,1992-08-25,33.0,138,9,Real Betis,False,ricardo rodriguez,True,0,0.0,1,0.06,1547,23
Group B,Switzerland,14,Ardon Jashari,MF,2002-07-30,23.0,8,0,Milan,False,ardon jashari,True,0,0.0,1,0.13,701,14
Group B,Switzerland,15,Djibril Sow,MF,1997-02-06,29.0,52,0,Sevilla,False,djibril sow,True,5,0.21,4,0.16,2187,33
Group B,Switzerland,17,Rubén Vargas,FW,1998-08-05,27.0,61,11,Sevilla,False,ruben vargas,True,3,0.17,6,0.34,1594,24
Group B,Switzerland,18,Eray Cömert,DF,1998-02-04,28.0,22,0,Valencia,False,eray comert,True,2,0.13,1,0.07,1337,17
Group B,Switzerland,19,Noah Okafor,FW,2000-05-24,26.0,25,2,Leeds United,False,noah okafor,True,8,0.46,1,0.06,1561,28
Group B,Switzerland,20,Michel Aebischer,MF,1997-01-06,29.0,40,2,Pisa,False,michel aebischer,True,1,0.03,2,0.06,2892,35
Group B,Switzerland,22,Fabian Rieder,MF,2002-02-16,24.0,28,1,FC Augsburg,False,fabian rieder,True,0,0.0,0,0.0,133,3
Group B,Switzerland,22,Fabian Rieder,MF,2002-02-16,24.0,28,1,FC Augsburg,False,fabian rieder,True,6,0.23,3,0.12,2343,32
Group B,Switzerland,23,Zeki Amdouni,FW,2000-12-04,25.0,29,11,Burnley,False,zeki amdouni,True,0,0.0,0,0.0,73,4
Group B,Switzerland,24,Aurèle Amenda,DF,2003-07-31,22.0,7,0,Eintracht Frankfurt,False,aurele amenda,True,0,0.0,0,0.0,1678,24
Group B,Switzerland,25,Luca Jaquez,DF,2003-06-02,23.0,3,0,VfB Stuttgart,False,luca jaquez,True,0,0.0,1,0.1,898,14
Group C,Brazil,1,Alisson,GK,1992-10-02,33.0,78,0,Liverpool,False,alisson,True,0,0.0,0,0.0,2340,26
Group C,Brazil,2,Éderson Silva,MF,1999-07-07,26.0,3,0,Atalanta,False,ederson silva,True,2,0.08,1,0.04,2230,30
Group C,Brazil,3,Gabriel Magalhães,DF,1997-12-19,28.0,17,1,Arsenal,False,gabriel magalhaes,True,3,0.1,4,0.13,2751,32
Group C,Brazil,4,Marquinhos,DF,1994-05-14,32.0,105,7,Paris Saint-Germain,True,marquinhos,True,0,0.0,0,0.0,1052,14
Group C,Brazil,5,Casemiro,MF,1992-02-23,34.0,86,9,Manchester United,False,casemiro,True,9,0.32,2,0.07,2571,34
Group C,Brazil,7,Vinícius Júnior,FW,2000-07-12,25.0,49,9,Real Madrid,False,vinicius junior,True,16,0.51,5,0.16,2815,36
Group C,Brazil,8,Bruno Guimarães,MF,1997-11-16,28.0,43,3,Newcastle United,False,bruno guimaraes,True,9,0.33,5,0.18,2453,29
Group C,Brazil,9,Matheus Cunha,FW,1999-05-27,27.0,23,1,Manchester United,False,matheus cunha,True,10,0.36,2,0.07,2494,33
Group C,Brazil,11,Raphinha,FW,1996-12-14,29.0,39,11,Barcelona,False,raphinha,True,13,0.85,3,0.2,1380,22
Group C,Brazil,19,Endrick,FW,2006-07-21,19.0,17,4,Lyon,False,endrick,True,0,0.0,0,0.0,12,1
Group C,Brazil,19,Endrick,FW,2006-07-21,19.0,17,4,Lyon,False,endrick,True,5,0.37,7,0.52,1215,16
Group C,Brazil,20,Lucas Paquetá,MF,1997-08-27,28.0,63,13,Flamengo,False,lucas paqueta,True,4,0.24,1,0.06,1511,18
Group C,Brazil,22,Gabriel Martinelli,FW,2001-06-18,24.0,23,4,Arsenal,False,gabriel martinelli,True,1,0.08,4,0.33,1081,30
Group C,Brazil,25,Igor Thiago,FW,2001-06-26,24.0,4,2,Brentford,False,igor thiago,True,22,0.6,1,0.03,3282,38
Group C,Brazil,26,Rayan,FW,2006-08-03,19.0,2,1,Bournemouth,False,rayan,True,5,0.41,2,0.16,1111,15
Group C,Haiti,2,Carlens Arcus,DF,1996-06-28,29.0,53,1,Angers,False,carlens arcus,True,0,0.0,3,0.13,2040,26
Group C,Haiti,10,Jean-Ricner Bellegarde,MF,1998-06-27,27.0,10,0,Wolverhampton Wanderers,False,jean-ricner bellegarde,True,1,0.07,1,0.07,1248,26
Group C,Haiti,18,Wilson Isidor,FW,2000-08-27,25.0,4,2,Sunderland,False,wilson isidor,True,6,0.46,0,0.0,1165,32
