team,R32,R16,QF,SF,Final,Champion
Argentina,98.3,74.9,59.1,44.3,29.3,18.3
Spain,97.1,72.8,53.2,40.4,26.4,17.6
France,95.6,74.8,47.8,32.6,19.6,11.4
United States,98.9,71.6,43.4,21.6,11.1,5.4
England,97.8,67.3,36.0,20.9,11.0,5.4
Germany,99.8,64.7,34.8,21.0,10.4,5.0
Portugal,92.8,62.0,36.4,18.3,9.3,4.6
Brazil,95.2,53.9,34.2,18.4,9.6,4.4
Mexico,99.4,72.4,42.0,19.9,9.0,3.5
Morocco,94.5,51.2,31.2,15.6,7.4,3.4
Colombia,90.1,56.0,30.3,14.9,7.3,3.2
Netherlands,94.5,49.4,29.8,14.5,6.6,3.0
Japan,92.7,46.2,26.9,12.4,5.6,2.2
Croatia,89.8,45.1,19.0,8.7,3.6,1.5
Australia,93.2,56.2,22.1,8.7,3.4,1.2
South Korea,95.1,58.8,24.7,8.9,3.2,1.1
Norway,71.6,38.1,16.4,7.2,2.9,1.1
Ecuador,80.7,36.2,16.4,6.7,2.8,1.0
Uruguay,79.5,27.4,12.9,6.1,2.3,0.8
Belgium,81.1,43.3,17.1,6.1,2.3,0.8
Senegal,65.7,32.8,13.6,5.3,1.9,0.7
Switzerland,82.0,40.8,17.6,5.1,1.8,0.7
Turkey,46.5,22.8,8.7,4.2,1.5,0.6
Canada,87.5,47.2,21.8,5.6,1.6,0.5
Ivory Coast,96.1,38.1,12.0,4.8,1.6,0.4
Iran,64.3,32.4,11.4,3.7,1.3,0.4
Austria,63.1,20.0,8.4,3.6,1.3,0.4
Scotland,80.4,26.6,10.7,3.5,1.2,0.3
Algeria,63.9,20.1,8.3,3.3,1.1,0.3
Egypt,71.2,29.8,8.8,2.4,0.7,0.2
Panama,69.2,21.8,7.0,2.2,0.8,0.2
Uzbekistan,49.2,16.6,5.1,1.6,0.4,0.1
Paraguay,29.6,12.6,3.5,1.5,0.4,0.1
Sweden,90.5,24.4,8.2,1.9,0.4,0.1
Czech Republic,42.9,16.0,4.3,0.7,0.2,0.0
Curaçao,3.5,0.4,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,47.8,9.3,1.7,0.2,0.0,0.0
DR Congo,28.0,7.0,1.5,0.4,0.1,0.0
Cape Verde,41.3,4.1,0.7,0.1,0.0,0.0
Ghana,9.4,0.9,0.1,0.0,0.0,0.0
New Zealand,43.8,12.4,2.3,0.5,0.1,0.0
Jordan,28.4,6.0,1.7,0.5,0.1,0.0
Haiti,4.6,0.6,0.1,0.0,0.0,0.0
Iraq,29.8,9.7,2.8,0.8,0.2,0.0
South Africa,20.8,6.2,1.2,0.2,0.0,0.0
Saudi Arabia,48.2,7.6,1.9,0.5,0.1,0.0
Qatar,49.1,10.6,2.4,0.3,0.0,0.0
Tunisia,5.5,1.0,0.2,0.0,0.0,0.0
