round,group,date,time,team1,team2,score1,score2,ground
Matchday 1,Group A,2026-06-11,13:00 UTC-6,Mexico,South Africa,,,Mexico City
Matchday 1,Group A,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,,,Guadalajara (Zapopan)
Matchday 8,Group A,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,,,Atlanta
Matchday 8,Group A,2026-06-18,19:00 UTC-6,Mexico,South Korea,,,Guadalajara (Zapopan)
Matchday 14,Group A,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,,,Mexico City
Matchday 14,Group A,2026-06-24,19:00 UTC-6,South Africa,South Korea,,,Monterrey (Guadalupe)
Matchday 2,Group B,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,,,Toronto
Matchday 3,Group B,2026-06-13,12:00 UTC-7,Qatar,Switzerland,,,San Francisco Bay Area (Santa Clara)
Matchday 8,Group B,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,,,Los Angeles (Inglewood)
Matchday 8,Group B,2026-06-18,15:00 UTC-7,Canada,Qatar,,,Vancouver
Matchday 14,Group B,2026-06-24,12:00 UTC-7,Switzerland,Canada,,,Vancouver
Matchday 14,Group B,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,,,Seattle
Matchday 3,Group C,2026-06-13,18:00 UTC-4,Brazil,Morocco,,,New York/New Jersey (East Rutherford)
Matchday 3,Group C,2026-06-13,21:00 UTC-4,Haiti,Scotland,,,Boston (Foxborough)
Matchday 9,Group C,2026-06-19,18:00 UTC-4,Scotland,Morocco,,,Boston (Foxborough)
Matchday 9,Group C,2026-06-19,20:30 UTC-4,Brazil,Haiti,,,Philadelphia
Matchday 14,Group C,2026-06-24,18:00 UTC-4,Scotland,Brazil,,,Miami (Miami Gardens)
Matchday 14,Group C,2026-06-24,18:00 UTC-4,Morocco,Haiti,,,Atlanta
Matchday 2,Group D,2026-06-12,18:00 UTC-7,USA,Paraguay,,,Los Angeles (Inglewood)
Matchday 3,Group D,2026-06-13,21:00 UTC-7,Australia,Turkey,,,Vancouver
Matchday 9,Group D,2026-06-19,12:00 UTC-7,USA,Australia,,,Seattle
Matchday 9,Group D,2026-06-19,20:00 UTC-7,Turkey,Paraguay,,,San Francisco Bay Area (Santa Clara)
Matchday 15,Group D,2026-06-25,19:00 UTC-7,Turkey,USA,,,Los Angeles (Inglewood)
Matchday 15,Group D,2026-06-25,19:00 UTC-7,Paraguay,Australia,,,San Francisco Bay Area (Santa Clara)
Matchday 4,Group E,2026-06-14,12:00 UTC-5,Germany,Curaçao,,,Houston
Matchday 4,Group E,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,,,Philadelphia
Matchday 10,Group E,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,,,Toronto
Matchday 10,Group E,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,,,Kansas City
Matchday 15,Group E,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,,,Philadelphia
Matchday 15,Group E,2026-06-25,16:00 UTC-4,Ecuador,Germany,,,New York/New Jersey (East Rutherford)
Matchday 4,Group F,2026-06-14,15:00 UTC-5,Netherlands,Japan,,,Dallas (Arlington)
Matchday 4,Group F,2026-06-14,20:00 UTC-6,Sweden,Tunisia,,,Monterrey (Guadalupe)
Matchday 10,Group F,2026-06-20,12:00 UTC-5,Netherlands,Sweden,,,Houston
Matchday 10,Group F,2026-06-20,22:00 UTC-6,Tunisia,Japan,,,Monterrey (Guadalupe)
Matchday 15,Group F,2026-06-25,18:00 UTC-5,Japan,Sweden,,,Dallas (Arlington)
