round,group,date,time,team1,team2,score1,score2,ground
Matchday 1,Group A,2022-11-20,19:00,Qatar,Ecuador,0,2,"Al Bayt Stadium, Al Khor"
Matchday 2,Group A,2022-11-21,19:00,Senegal,Netherlands,0,2,"Al Thumama Stadium, Doha"
Matchday 6,Group A,2022-11-25,16:00,Qatar,Senegal,1,3,"Al Thumama Stadium, Doha"
Matchday 6,Group A,2022-11-25,19:00,Netherlands,Ecuador,1,1,"Khalifa International Stadium, Al Rayyan"
Matchday 10,Group A,2022-11-29,18:00,Ecuador,Senegal,1,2,"Khalifa International Stadium, Al Rayyan"
Matchday 10,Group A,2022-11-29,18:00,Netherlands,Qatar,2,0,"Al Bayt Stadium, Al Khor"
Matchday 2,Group B,2022-11-21,16:00,England,Iran,6,2,"Khalifa International Stadium, Al Rayyan"
Matchday 2,Group B,2022-11-21,22:00,USA,Wales,1,1,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 6,Group B,2022-11-25,13:00,Wales,Iran,0,2,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 6,Group B,2022-11-25,22:00,England,USA,0,0,"Al Bayt Stadium, Al Khor"
Matchday 10,Group B,2022-11-29,22:00,Wales,England,0,3,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 10,Group B,2022-11-29,22:00,Iran,USA,0,1,"Al Thumama Stadium, Doha"
Matchday 3,Group C,2022-11-22,13:00,Argentina,Saudi Arabia,1,2,"Lusail Iconic Stadium, Lusail"
Matchday 3,Group C,2022-11-22,19:00,Mexico,Poland,0,0,"Stadium 974, Doha"
Matchday 7,Group C,2022-11-26,16:00,Poland,Saudi Arabia,2,0,"Education City Stadium, Al Rayyan"
Matchday 7,Group C,2022-11-26,22:00,Argentina,Mexico,2,0,"Lusail Iconic Stadium, Lusail"
Matchday 11,Group C,2022-11-30,22:00,Poland,Argentina,0,2,"Stadium 974, Doha"
Matchday 11,Group C,2022-11-30,22:00,Saudi Arabia,Mexico,1,2,"Lusail Iconic Stadium, Lusail"
Matchday 3,Group D,2022-11-22,16:00,Denmark,Tunisia,0,0,"Education City Stadium, Al Rayyan"
Matchday 3,Group D,2022-11-22,22:00,France,Australia,4,1,"Al Janoub Stadium, Al Wakrah"
Matchday 7,Group D,2022-11-26,13:00,Tunisia,Australia,0,1,"Al Janoub Stadium, Al Wakrah"
Matchday 7,Group D,2022-11-26,19:00,France,Denmark,2,1,"Stadium 974, Doha"
Matchday 11,Group D,2022-11-30,18:00,Australia,Denmark,1,0,"Al Janoub Stadium, Al Wakrah"
Matchday 11,Group D,2022-11-30,18:00,Tunisia,France,1,0,"Education City Stadium, Al Rayyan"
Matchday 4,Group E,2022-11-23,16:00,Germany,Japan,1,2,"Khalifa International Stadium, Al Rayyan"
Matchday 4,Group E,2022-11-23,19:00,Spain,Costa Rica,7,0,"Al Thumama Stadium, Doha"
Matchday 8,Group E,2022-11-27,13:00,Japan,Costa Rica,0,1,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 8,Group E,2022-11-27,22:00,Spain,Germany,1,1,"Al Bayt Stadium, Al Khor"
Matchday 12,Group E,2022-12-01,22:00,Japan,Spain,2,1,"Khalifa International Stadium, Al Rayyan"
Matchday 12,Group E,2022-12-01,22:00,Costa Rica,Germany,2,4,"Al Bayt Stadium, Al Khor"
Matchday 4,Group F,2022-11-23,13:00,Morocco,Croatia,0,0,"Al Bayt Stadium, Al Khor"
Matchday 4,Group F,2022-11-23,22:00,Belgium,Canada,1,0,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 8,Group F,2022-11-27,16:00,Belgium,Morocco,0,2,"Al Thumama Stadium, Doha"
Matchday 8,Group F,2022-11-27,19:00,Croatia,Canada,4,1,"Khalifa International Stadium, Al Rayyan"
Matchday 12,Group F,2022-12-01,18:00,Croatia,Belgium,0,0,"Ahmad bin Ali Stadium, Al Rayyan"
Matchday 12,Group F,2022-12-01,18:00,Canada,Morocco,1,2,"Al Thumama Stadium, Doha"
Matchday 5,Group G,2022-11-24,13:00,Switzerland,Cameroon,1,0,"Al Janoub Stadium, Al Wakrah"
Matchday 5,Group G,2022-11-24,22:00,Brazil,Serbia,2,0,"Lusail Iconic Stadium, Lusail"
Matchday 9,Group G,2022-11-28,13:00,Cameroon,Serbia,3,3,"Al Janoub Stadium, Al Wakrah"
Matchday 9,Group G,2022-11-28,19:00,Brazil,Switzerland,1,0,"Stadium 974, Doha"
Matchday 13,Group G,2022-12-02,22:00,Serbia,Switzerland,2,3,"Stadium 974, Doha"
Matchday 13,Group G,2022-12-02,22:00,Cameroon,Brazil,1,0,"Lusail Iconic Stadium, Lusail"
Matchday 5,Group H,2022-11-24,16:00,Uruguay,South Korea,0,0,"Education City Stadium, Al Rayyan"
Matchday 5,Group H,2022-11-24,19:00,Portugal,Ghana,3,2,"Stadium 974, Doha"
Matchday 9,Group H,2022-11-28,16:00,South Korea,Ghana,2,3,"Education City Stadium, Al Rayyan"
Matchday 9,Group H,2022-11-28,22:00,Portugal,Uruguay,2,0,"Lusail Iconic Stadium, Lusail"
Matchday 13,Group H,2022-12-02,18:00,Ghana,Uruguay,0,2,"Al Janoub Stadium, Al Wakrah"
Matchday 13,Group H,2022-12-02,18:00,South Korea,Portugal,2,1,"Lusail Iconic Stadium, Lusail"
Round of 16,,2022-12-03,18:00,Netherlands,USA,3,1,"Khalifa International Stadium, Al Rayyan"
Round of 16,,2022-12-03,22:00,Argentina,Australia,2,1,"Ahmad bin Ali Stadium, Al Rayyan"
Round of 16,,2022-12-04,18:00,France,Poland,3,1,"Al Thumama Stadium, Doha"
Round of 16,,2022-12-04,22:00,England,Senegal,3,0,"Al Bayt Stadium, Al Khor"
Round of 16,,2022-12-05,18:00,Japan,Croatia,1,1,"Al Janoub Stadium, Al Wakrah"
Round of 16,,2022-12-05,22:00,Brazil,South Korea,4,1,"Stadium 974, Doha"
Round of 16,,2022-12-06,18:00,Morocco,Spain,0,0,"Education City Stadium, Al Rayyan"
Round of 16,,2022-12-06,22:00,Portugal,Switzerland,6,1,"Lusail Iconic Stadium, Lusail"
Quarter-finals,,2022-12-09,18:00,Croatia,Brazil,0,0,"Education City Stadium, Al Rayyan"
Quarter-finals,,2022-12-09,22:00,Netherlands,Argentina,2,2,"Lusail Iconic Stadium, Lusail"
Quarter-finals,,2022-12-10,18:00,Morocco,Portugal,1,0,"Al Thumama Stadium, Doha"
Quarter-finals,,2022-12-10,22:00,England,France,1,2,"Al Bayt Stadium, Al Khor"
Semi-finals,,2022-12-13,22:00,Argentina,Croatia,3,0,"Lusail Iconic Stadium, Lusail"
